1	1000000	36	0.000036000	buffer	
1	2000000	18	0.000009000	buffer	
1	3000000	87	0.000029000	buffer	
1	4000000	33	0.000008250	buffer	
1	5000000	51	0.000010200	buffer	
1	6000000	65	0.000010833	buffer	
1	7000000	83	0.000011857	buffer	
1	8000000	93	0.000011625	buffer	
1	9000000	82	0.000009111	buffer	
1	10000000	98	0.000009800	buffer	
5	1000000	31	0.000031000	buffer	
5	2000000	25	0.000012500	buffer	
5	3000000	47	0.000015667	buffer	
5	4000000	73	0.000018250	buffer	
5	5000000	120	0.000024000	buffer	
5	6000000	75	0.000012500	buffer	
5	7000000	87	0.000012429	buffer	
5	8000000	126	0.000015750	buffer	
5	9000000	239	0.000026556	buffer	
5	10000000	124	0.000012400	buffer	
10	1000000	19	0.000019000	buffer	
10	2000000	34	0.000017000	buffer	
10	3000000	47	0.000015667	buffer	
10	4000000	85	0.000021250	buffer	
10	5000000	111	0.000022200	buffer	
10	6000000	115	0.000019167	buffer	
10	7000000	240	0.000034286	buffer	
10	8000000	162	0.000020250	buffer	
10	9000000	171	0.000019000	buffer	
10	10000000	193	0.000019300	buffer	
25	1000000	28	0.000028000	buffer	
25	2000000	63	0.000031500	buffer	
25	3000000	125	0.000041667	buffer	
25	4000000	160	0.000040000	buffer	
25	5000000	161	0.000032200	buffer	
25	6000000	170	0.000028333	buffer	
25	7000000	393	0.000056143	buffer	
25	8000000	422	0.000052750	buffer	
25	9000000	422	0.000046889	buffer	
25	10000000	445	0.000044500	buffer	
50	1000000	46	0.000046000	buffer	
50	2000000	128	0.000064000	buffer	
50	3000000	316	0.000105333	buffer	
50	4000000	237	0.000059250	buffer	
50	5000000	650	0.000130000	buffer	
50	6000000	821	0.000136833	buffer	
50	7000000	561	0.000080143	buffer	
50	8000000	605	0.000075625	buffer	
50	9000000	1646	0.000182889	buffer	
50	10000000	1380	0.000138000	buffer	
1	1000000	9	0.000009000	buffer	
5	1000000	13	0.000013000	buffer	
10	1000000	54	0.000054000	buffer	
25	1000000	32	0.000032000	buffer	
50	1000000	88	0.000088000	buffer	
1	2000000	19	0.000009500	buffer	
5	2000000	28	0.000014000	buffer	
10	2000000	38	0.000019000	buffer	
25	2000000	121	0.000060500	buffer	
50	2000000	113	0.000056500	buffer	
1	3000000	36	0.000012000	buffer	
5	3000000	38	0.000012667	buffer	
10	3000000	52	0.000017333	buffer	
25	3000000	97	0.000032333	buffer	
50	3000000	207	0.000069000	buffer	
1	4000000	37	0.000009250	buffer	
5	4000000	61	0.000015250	buffer	
10	4000000	127	0.000031750	buffer	
25	4000000	139	0.000034750	buffer	
50	4000000	226	0.000056500	buffer	
1	5000000	48	0.000009600	buffer	
5	5000000	62	0.000012400	buffer	
10	5000000	107	0.000021400	buffer	
25	5000000	178	0.000035600	buffer	
50	5000000	432	0.000086400	buffer	
1	6000000	61	0.000010167	buffer	
5	6000000	77	0.000012833	buffer	
10	6000000	133	0.000022167	buffer	
25	6000000	193	0.000032167	buffer	
50	6000000	453	0.000075500	buffer	
1	7000000	157	0.000022429	buffer	
5	7000000	81	0.000011571	buffer	
10	7000000	269	0.000038429	buffer	
25	7000000	380	0.000054286	buffer	
50	7000000	465	0.000066429	buffer	
1	8000000	89	0.000011125	buffer	
5	8000000	147	0.000018375	buffer	
10	8000000	216	0.000027000	buffer	
25	8000000	320	0.000040000	buffer	
50	8000000	555	0.000069375	buffer	
1	9000000	89	0.000009889	buffer	
5	9000000	183	0.000020333	buffer	
10	9000000	243	0.000027000	buffer	
25	9000000	384	0.000042667	buffer	
50	9000000	1564	0.000173778	buffer	
1	10000000	231	0.000023100	buffer	
5	10000000	170	0.000017000	buffer	
10	10000000	222	0.000022200	buffer	
25	10000000	398	0.000039800	buffer	
50	10000000	1198	0.000119800	buffer	
